,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
192,"Hollins, Ryan",2006,Y,200797,ryan_hollins,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
193,"Hollis-Jefferson, Rondae",2015,Y,1626178,rondae_hollis-jefferson,1,BKN,Brooklyn,nets,1610612751,Nets,2015
194,"Holmes, Richaun",2015,Y,1626158,richaun_holmes,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
195,"Hood, Rodney",2014,Y,203918,rodney_hood,1,UTA,Utah,jazz,1610612762,Jazz,2015
196,"Horford, Al",2007,Y,201143,al_horford,1,ATL,Atlanta,hawks,1610612737,Hawks,2015
197,"Howard, Dwight",2004,Y,2730,dwight_howard,1,HOU,Houston,rockets,1610612745,Rockets,2015
198,"Huertas, Marcelo",2015,Y,1626273,marcelo_huertas,1,LAL,Los Angeles,lakers,1610612747,Lakers,2015
199,"Huestis, Josh",2015,Y,203962,josh_huestis,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
200,"Humphries, Kris",2004,Y,2743,kris_humphries,1,WAS,Washington,wizards,1610612764,Wizards,2015
201,"Hunter, RJ",2015,Y,1626154,rj_hunter,1,BOS,Boston,celtics,1610612738,Celtics,2015
202,"Ibaka, Serge",2009,Y,201586,serge_ibaka,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
203,"Iguodala, Andre",2004,Y,2738,andre_iguodala,1,GSW,Golden State,warriors,1610612744,Warriors,2015
204,"Ilyasova, Ersan",2006,Y,101141,ersan_ilyasova,1,DET,Detroit,pistons,1610612765,Pistons,2015
205,"Ingles, Joe",2014,Y,204060,joe_ingles,1,UTA,Utah,jazz,1610612762,Jazz,2015
206,"Inglis, Damien",2014,Y,203996,damien_inglis,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
207,"Irving, Kyrie",2011,Y,202681,kyrie_irving,1,CLE,Cleveland,cavaliers,1610612739,Cavaliers,2015
208,"Jack, Jarrett",2005,Y,101127,jarrett_jack,1,BKN,Brooklyn,nets,1610612751,Nets,2015
209,"Jackson, Reggie",2011,Y,202704,reggie_jackson,1,DET,Detroit,pistons,1610612765,Pistons,2015
210,"James, LeBron",2003,Y,2544,lebron_james,1,CLE,Cleveland,cavaliers,1610612739,Cavaliers,2015
211,"Jefferson, Al",2004,Y,2744,al_jefferson,1,CHA,Charlotte,hornets,1610612766,Hornets,2015
212,"Jefferson, Cory",2014,Y,203928,cory_jefferson,1,PHX,Phoenix,suns,1610612756,Suns,2015
213,"Jefferson, Richard",2001,Y,2210,richard_jefferson,1,CLE,Cleveland,cavaliers,1610612739,Cavaliers,2015
214,"Jenkins, John",2012,Y,203098,john_jenkins,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
215,"Jennings, Brandon",2009,Y,201943,brandon_jennings,1,DET,Detroit,pistons,1610612765,Pistons,2015
216,"Jerebko, Jonas",2009,Y,201973,jonas_jerebko,1,BOS,Boston,celtics,1610612738,Celtics,2015
217,"Johnson, Amir",2005,Y,101161,amir_johnson,1,BOS,Boston,celtics,1610612738,Celtics,2015
218,"Johnson, Chris",2012,Y,203187,christapher_johnson,1,UTA,Utah,jazz,1610612762,Jazz,2015
219,"Johnson, James",2009,Y,201949,james_johnson,1,TOR,Toronto,raptors,1610612761,Raptors,2015
